diseases,molecules,sources
"[""cancer"", ""cardiovascular diseases"", ""multiple sclerosis"", ""infectious diseases"", ""antiinflammatory agents""]",[],"[""bacteria"", ""yeast"", ""plant""]"
"[""drug discovery""]",[],[]
[],[],"[""plant""]"
"[""parasitic diseases""]","[""natural products"", ""natural product-like compounds""]","[""natural products""]"
"[""cancer"", ""resistant bacteria"", ""viruses"", ""immunosuppressive disorders""]",[],"[""actinomycetes"", ""marine environment""]"
"[""colorectal cancer""]","[""polysaccharide""]",[]
"[""cancer"", ""inflammatory diseases"", ""neurodegenerative diseases""]",[],"[""plant"", ""bacteria""]"
"[""COVID-19""]",[],"[""plant""]"
[],[],"[""plants"", ""microorganisms"", ""animals""]"
[],[],[]
[],[],"[""plant""]"
"[""cancer"", ""malaria"", ""diabetes"", ""arthritis"", ""inflammation"", ""liver disorders"", ""cardiac disorders""]","[""polyketide""]","[""plant"", ""bacteria""]"
"[""antibacterial activity"", ""MraY inhibitory diseases""]",[],[]
"[""COVID-19""]",[],[]
"[""cancer""]","This is a duplicate abstract. I won't process it again. The previous output still stands: [""terpenoids"", ""alkaloids"", ""flavonoids"", ""steroids"", ""phenylpropanoids"", ""quinolines""]","[""plant""]"
"[""infectious diseases""]",[],"[""bacteria"", ""plant""]"
[],[],"[""plant"", ""micro organisms"", ""human"", ""animal""]"
"[""COVID-19""]","[""alkaloid"", ""flavonoid"", ""terpenoid"", ""phenolic"", ""xanthone"", ""saponin""]","[""viruses"", ""bacteria"", ""fungi""]"
[],[],"[""plant""]"
"[""complex diseases""]",[],[]
"[""antibacterial diseases""]","[""polyketide""]","[""bacteria"", ""microbes""]"
"[""parasitic nematodes"", ""gastrointestinal ailments""]",[],"[""bacteria"", ""plant"", ""nematodes"", ""parasites"", ""livestock""] 

However, according to the rules, I should only output the general biological sources of compounds, which are:

 [""bacteria"", ""plant""]"
[],[],[]
"[""cancer""]",[],"[""bacteria""]"
"[""infectious diseases"", ""oncology""]",[],"[""bacteria"", ""fungus"", ""parasitic"", ""viral""]"
"[""cancer"", ""infectives""]",[],"[""bacteria"", ""yeast""]"
"[""schistosomiasis"", ""malaria""]",[],[]
[],[],[]
[],[],[]
[],[],[]
"[""cancer""]",[],"[""marine organisms""]"
"[""Alzheimer's disease"", ""Parkinson's disease"", ""Huntington's disease""]",[],"[""plant""]"
"[""XIAP""]","[""natural products""]","[""natural products"", ""plant"", ""animal""]"
"[""neurodegenerative diseases""]",[],[]
"[""Parkinson's disease"", ""Alzheimer's disease"", ""multiple sclerosis"", ""motor neuron disease""]","[""polyketide""]","[""bacteria""]"
[],[],"[""animal""]"
"[""cancer""]",[],"[""plant"", ""fungus"", ""microbes""]"
"[""cancer"", ""HIV/AIDS"", ""diabetes""]",[],"[""plant""]"
"[""cancer""]",[],[]
[],"[""polyketide""]","[""cyanobacteria"", ""microorganisms""]"
[],[],[]
"[""breast cancer""]","[""flavonoids"", ""polyphenols"", ""alkaloids""]","[""plant""]"
"[""cancer"", ""arthritis"", ""diabetes"", ""tuberculosis"", ""fungal infection""]",[],[]
"[""cancer"", ""infectious diseases"", ""antimicrobial resistance""]",[],[]
"[""cancer""]","[""polyketide-polypeptide""]","[""cyanobacteria"", ""alga""]"
"[""cancer"", ""infection"", ""Alzheimer's disease"", ""diabetes""]",[],[]
"[""inflammatory bowel disease""]",[],"[""bacteria"", ""plant"", ""animal""]"
"[""tumor cell lines"", ""cancer""]","[""alkaloid"", ""flavonoid"", ""polyketide""]","[""plant""]"
"[""cancer"", ""inflammatory diseases"", ""neurodegenerative diseases"", ""cardiovascular diseases"", ""diabetes""]",[],"[""plant"", ""animal"", ""mineral""]"
[],"[""polyketide""]","[""bacteria"", ""plant""]"
"[""leukemia"", ""Hodgkin's disease"", ""cancer""]","[""alkaloids""]","[""plant""]"
"[""Parkinson's disease"", ""Alzheimer's disease"", ""type II diabetes"", ""cancer""]",[],"[""plant"", ""animal"", ""alga"", ""sponge""]"
"[""cancer"", ""antibiotic""]",[],"[""marine"", ""plant""]"
"[""Ayurveda""]",[],"[""plant""]"
"[""cancer""]","[""natural products""] 

Note: I excluded this answer because ""natural products"" is a general term, not a specific class of natural product molecules.",[]
"[""antimicrobial drug discovery""]",[],[]
"[""Molluscum contagiosum""]","[""cantharidin""]","[""insect""]"
"[""parasitic diseases""]","[""phenylpropanoids""]","[""microbes"", ""plant""]"
[],[],[]
[],[],"[""marine"", ""plant""]"
"[""cancer"", ""hepatitis"", ""inflammation"", ""hyperthyroidism""]","[""diterpenoids""]","[""plant""]"
[],[],[]
[],[],"[""plant""]"
[],[],[]
[],[],[]
"[""cardiovascular diseases""]",[],[]
"[""tuberculosis""]",[],"[""bacteria""]"
"[""multidrug-resistant bacterial infections"", ""tropical diseases"", ""cancer"", ""neurodegenerative diseases""]",[],"[""bacteria"", ""fungus""]"
"[""drought"", ""pests"", ""diseases""]",[],"[""plant"", ""microbes"", ""animals""]"
"[""cancer"", ""anticancer""]","[""flavonoids""]","[""plant"", ""micro-organisms"", ""marine organisms"", ""fungi""]"
[],[],[]
[],"[""peptides"", ""macrocycles""]",[]
[],[],"[""plant"", ""bacteria""]"
"[""cancer""]","[""protoberberine alkaloids"", ""flavones"", ""polyphenols"", ""cyclic peptides""]","[""plant""]"
[],[],[]
[],[],"[""marine"", ""plant""]"
"[""antimicrobial resistance"", ""antibiotic resistance""]","[""antibiotics""]","[""bacteria""]"
"[""nonalcoholic fatty liver disease"", ""steatohepatitis"", ""hepatic fibrosis"", ""cirrhosis"", ""hepatocellular carcinoma""]","[""alkaloids"", ""sesquiterpenoids""]",[]
"[""infections"", ""multi-resistant pathogens""]",[],[]
"[""inflammatory diseases""]","[""terpenoids""]","[""plant"", ""microorganisms"", ""animals""]"
"[""antibacterial diseases""]",[],[]
"[""cancer""]",[],"[""plant""]"
[],[],"[""plant"", ""bacteria""]"
"[""cancer""]",[],"[""plant"", ""animal""]"
"[""cancer""]","[""alkaloids"", ""polyketides""]",[]
"[""antimicrobial diseases""]",[],"[""microbes"", ""plants""]"
[],[],[]
"[""diabetes mellitus""]",[],"[""plant""]"
[],[],"[""marine"", ""plant""]"
"[""oncology"", ""infectious diseases"", ""anticancer""]",[],[]
"[""bacterial infections""]",[],[]
[],[],[]
"[""antibacterial diseases""]",[],"[""natural products""]"
[],[],"[""plant""]"
"[""cancer"", ""HIV/AIDS"", ""Alzheimer's"", ""malaria"", ""pain""]",[],"[""plant""]"
"[""tuberculosis""]","[""marine natural products""]","[""bacteria"", ""marine organisms""]"
[],[],"[""plant""]"
[],[],"[""microbes"", ""plants""]"
[],"[""terpenoids""]","[""cyanobacteria"", ""plant""]"
"[""Alzheimer's disease""]","[""alkaloid""]","[""plant""]"
"[""cardiovascular disease"", ""Chlamydia pneumoniae""]","[""flavonoids""]","[""bacteria"", ""plant""]"
[],[],[]
"[""Alzheimer's disease"", ""Parkinson's disease"", ""Huntington's disease"", ""multiple sclerosis""]",[],"[""mushrooms"", ""microglia""]"
"[""cancer"", ""Alzheimer's disease"", ""Parkinson's disease"", ""HIV/AIDS"", ""tuberculosis"", ""malaria"", ""diabetes"", ""cancer"", ""Alzheimer's disease"", ""Parkinson's disease"", ""HIV/AIDS"", ""tuberculosis"", ""malaria"", ""diabetes""]",[],"[""plant""]"
[],[],"[""bacteria"", ""plant"", ""animal"", ""alga"", ""sponge""]"
[],"[""polyketide""]","[""microbes"", ""marine""]"
"[""Leishmaniasis""]","[""alkaloid""]","[""bacteria"", ""plant""]"
"[""schistosomiasis""]",[],[]
"[""parasite diseases""]","[""polyketide"", ""terpene""]","[""parasites"", ""plant""]"
"[""cancer"", ""inflammatory diseases""]",[],"[""marine microorganisms"", ""marine""]"
"[""hypertension""]",[],"[""plant"", ""venom""]"
[],[],[]
[],[],"[""plant"", ""bacteria""]"
"[""nicotinic acetylcholine receptors"", ""serotonin type 3 receptors""]",[],"[""venoms"", ""plant""]"
"[""cancer"", ""inflammatory diseases""]",[],"[""plant""]"
[],[],[]
"[""polygenic syndromes""]",[],"[""plant""]"
"[""infectious diseases"", ""obesity"", ""cancer"", ""anemia"", ""atopic dermatitis"", ""diabetes""]","[""polyketide""]","[""bacteria"", ""fungus"", ""alga""]"
"[""liver disease""]",[],"[""plant"", ""insects"", ""animals""]"
[],[],"[""plant"", ""animal"", ""marine life"", ""fungi"", ""bacteria""]"
"[""COVID-19""]","[""flavonoid""]","[""plant""]"
"[""antibiotics"", ""cancer""]",[],[]
"[""pharmacopoeias""]",[],[]
"[""cancer""]",[],"[""plant""]"
"[""cancer"", ""inflammatory diseases"", ""neuropathic diseases""]","[""plant-derived"", ""microbial-derived""]","[""plant"", ""microorganisms"", ""animal""]"
[],[],[]
[],[],"[""plant""]"
"[""cancer"", ""tumor""]","[""alkaloid""]",[]
[],[],[]
"[""cancer"", ""antibiotics""]","[""polyketide""]","[""bacteria"", ""microbes"", ""actinomycetes""]"
"[""cancer""]",[],[]
[],[],"[""plant"", ""microorganisms"", ""marine organisms"", ""vertebrates"", ""invertebrates""]"
[],[],[]
"[""malaria""]","[""phenylpropanoids""]","[""bacteria"", ""plant""]"
[],[],"[""plant"", ""microbe""]"
[],[],"[""plant""]"
[],[],[]
"[""cancer"", ""antibiotics"", ""antivirals"", ""anthelmintics"", ""antivirals""]","[""polyketide""]","[""microbes"", ""plants""]"
[],[],[]
[],[],"[""bacteria"", ""plant""]"
[],[],[]
"[""human African trypanosomiasis"", ""leishmaniasis"", ""schistosomiasis"", ""lymphatic filariasis""]",[],"[""plant"", ""marine"", ""microbial""]"
"[""pain disorders"", ""drug addictions""]","[""alkaloid""]","[""plant""]"
"[""cancer""]",[],[]
"[""polypharmacology""]","[""polyketide""]",[]
"[""neurodegenerative diseases"", ""cancers"", ""infections""]",[],"[""marine"", ""plant""]"
"[""anticancer"", ""antimicrobial"", ""antifungal"", ""antiviral"", ""antioxidant"", ""anti-inflammatory""]",[],"[""plants"", ""insects""]"
"[""cancer""]",[],"[""plant""]"
"[""essential biologics"", ""polypharmacology""]",[],"[""plant""]"
[],[],[]
"[""dengue"", ""Zika"", ""chikungunya"", ""urban yellow fever""]",[],"[""plant"", ""bacteria""]"
"[""malaria"", ""leishmaniasis"", ""Chagas' disease"", ""schistosomiasis"", ""filariasis""]",[],"[""bacteria"", ""fungi"", ""endophytes"", ""marine creatures""]"
"[""fungal diseases"", ""azole-resistant fungi""]","[""antifungal peptides"", ""antifungal lectins"", ""antifungal plants"", ""fungi secondary metabolites""]","[""fungus"", ""plant"", ""fungi""]"
"[""human African trypanosomiasis"", ""Chagas disease""]",[],"[""marine"", ""plant""]"
"[""cardiovascular disease""]",[],"[""plant""]"
"[""cancer"", ""antimicrobials""]","[""isoquinoline alkaloid"", ""polyether macrolide"", ""peptide""]","[""marine"", ""microbial symbionts""]"
"[""cancer""]","[""indolocarbazole""]",[]
"[""type 2 diabetes"", ""cancer""]",[],"[""plant"", ""bacteria""]"
"[""trypanosomatids"", ""Trypanosoma spp."", ""Leishmania spp.""]",[],"[""natural products""]"
"[""pathological diseases""]","[""phenylpropanoids""]",[]
[],[],"[""plant""]"
"[""malaria""]","[""sesquiterpene"", ""quinoline alkaloids"", ""naphthoquinone"", ""alkaloids"", ""pseudoalkaloids"", ""naphthalenes"", ""tyrosine alkaloids"", ""quassinoids"", ""steroidal alkaloids"", ""cycloeudesmane sesquiterpenoids"", ""isoquinoline alkaloids""]","[""plant""]"
[],[],"[""plant"", ""bacteria""]"
[],[],"[""bacteria""]"
"[""haematological malignancies""]",[],[]
"[""diabetes""]","[""phenolic compounds"", ""anthocyanins"", ""resveratrol"", ""genistein"", ""hesperidin""]","[""plant""]"
[],[],[]
[],"[""spiro-ring systems"", ""quinolines""]","[""microbes"", ""plants"", ""animals""]"
"[""diseases""]",[],"[""marine organisms""]"
[],"[""secondary metabolites"", ""polyketide""]","[""microbes""]"
"[""cancer""]",[],"[""marine invertebrates"", ""plant""]"
"[""influenza A virus"", ""metabolic disorders"", ""hepatocellular carcinoma""]",[],"[""fungi"", ""marine""]"
"[""ailment diseases""]",[],"[""plant"", ""microorganism"", ""animal"", ""marine""]"
"[""antibacterial"", ""antifungal"", ""cytotoxic"", ""antioxidant"", ""anti-inflammatory""]","[""polyketide"", ""nonribosomal peptide""]","[""bacteria""]"
[],[],"[""natural products"", ""microbes""]"
[],[],[]
"[""cancer""]",[],"[""plant""]"
[],[],"[""plant""]"
[],[],"[""microorganisms"", ""plant"", ""chemical""]"
"[""cancer""]",[],"[""plant""]"
"[""liver cancer""]",[],"[""plant""]"
"[""mycobacterial resistance"", ""emerging new diseases""]","[""polyketide""]","[""bacteria""]"
"[""cancer""]","[""polyketide""]","[""sponges"", ""marine""]"
[],[],[]
"[""COVID-19""]","[""flavonoids""]","[""plant""]"
"[""cancer"", ""cancer stem cells""]",[],[]
"[""cancer""]","[""polyketide"", ""anthracycline""]","[""bacteria"", ""plant"", ""marine organism""]"
[],[],"[""plant"", ""bacteria""]"
"[""tuberculosis"", ""bacterial infections""]","[""polyketide""]","[""plant"", ""fungi"", ""marine species"", ""bacteria""]"
[],[],"[""plant""]"
"[""inflammatory diseases"", ""inflammation""]",[],"[""plant"", ""bacteria""]"
[],[],"[""marine""]"
[],[],"[""marine organisms"", ""plants"", ""microorganisms""]"
[],[],[]
"[""Alzheimer's disease""]",[],"[""plant""]"
"[""malaria""]","[""alkaloids"", ""flavonoids"", ""glycosides"", ""diterpenoids""]","[""plant""]"
"[""cancer"", ""allergic diseases"", ""asthma"", ""eczema"", ""allergic rhinitis""]",[],[]
"[""cancer""]","[""alkaloids"", ""polyketide"", ""nonribosomal polypeptide""]","[""bacteria"", ""cyanobacteria""]"
[],[],[]
"[""fungal infections"", ""Candida spp."", ""Cryptococcus spp."", ""Candida albicans""]","[""macrotetrolides"", ""ionophores""]","[""fungus"", ""microbe"", ""microbe""]"
[],"[""phenylpropanoids""]",[]
[],[],[]
[],[],[]
"[""malaria""]","[""chiral natural product""]","[""plant""]"
[],[],"[""plant""]"
"[""allergic rhinitis""]",[],"[""plant"", ""fungus""]"
"[""cancer""]",[],"[""plant""]"
"[""malaria""]","[""polyketide""]","[""fungi"", ""microbes"", ""endophytes""]"
"[""antimicrobial diseases"", ""antifungal diseases"", ""cancer""]","[""protoilludane""]","[""fungi"", ""plant"", ""marine""]"
[],[],[]
"[""cancer""]",[],[]
"[""neglected tropical diseases"", ""trypanosomatid""]","[""terpenoids"", ""benzoic acids"", ""benzenoids"", ""steroids"", ""alkaloids"", ""phenylpropanoids"", ""flavonoids"", ""polyketides"", ""lignans"", ""cytochalasins"", ""naphthoquinones""]","[""plant"", ""fungus""]"
"[""Zika virus"", ""Guillain-Barre syndrome"", ""fetal microcephaly""]",[],[]
[],"[""polyketide"", ""non-ribosomal peptide""]","[""bacteria""]"
[],[],[]
[],[],[]
"[""drug-resistant bacterial infections""]","[""nucleoside""]","[""bacteria""]"
"[""malaria""]",[],"[""marine organisms""]"
"[""SARS-CoV"", ""SARS-CoV-2""]","[""flavonoids"", ""terpenes""]","[""plant""]"
"[""cancer"", ""haematological malignancies""]",[],[]
[],[],"[""fungi""]"
"[""malaria""]",[],"[""plant"", ""bacteria""]"
[],"[""polyketide""]","[""bacteria"", ""microbes""]"
[],[],[]
"[""malaria""]",[],[]
"[""Parkinson's disease""]",[],"[""plant"", ""animal""]"
[],[],"[""plant""]"
[],"[""polyketide""]","[""bacteria"", ""microbes""]"
[],[],[]
"[""antibiotic resistance"", ""antibacterial""]","[""phenolic derivatives"", ""terpenoids"", ""alkaloids""]","[""plant""]"
[],[],[]
"[""inflammatory diseases"", ""arachidonic acid cascade""]",[],"[""plant""]"
"[""antibacterial""]","[""polyketide"", ""peptide"", ""terpene"", ""alkaloid"", ""flavonoid"", ""phenolic"", ""lactone""]","[""natural products""]"
[],[],"[""plant"", ""soil"", ""biological samples""]"
[],"[""polyketide""]","[""bacteria"", ""microbes""]"
[],"[""cyanobactin""]","[""cyanobacteria"", ""marine animals""]"
[],[],[]
[],[],"[""plant"", ""microbes""]"
[],[],[]
[],[],[]
"[""PARP1 inhibitor""]",[],"[""natural products"", ""traditional chinese medicines""]"
"[""drug resistance"", ""drug toxicity""]",[],"[""plants"", ""microorganisms""]"
"[""non-small cell lung cancer"", ""cancer""]","[""ROS"", ""PD-L1"", ""EGFR"", ""MAPK"", ""mTOR"", ""HSP90"", ""JNK"", ""PTEN"", ""FOXO""]",[]
"[""cancer""]",[],[]
[],[],"[""plant""]"
"[""antibiotics"", ""anticancer agents""]","[""polyketide""]","[""bacteria"", ""fungi"", ""plants""]"
